Time,Year,RegionName,Cases,Population,Incidence
2006,2006,Estonia,153.0,1350700.0,11.32745983
2006,2006,Finland,536.0,5255580.0,10.19868406
2006,2006,France,139.0,63229635.0,
2006,2006,Germany,,82437995.0,
2006,2006,Greece,13.0,11004716.0,0.11813117
2006,2006,Hungary,17.0,10076581.0,0.16870801
2006,2006,Iceland,3.0,299891.0,1.00036346
2006,2006,Ireland,62.0,4208156.0,1.47332941
2006,2006,Italy,836.0,58288996.0,1.43423297
2006,2006,Latvia,29.0,2227874.0,1.30168941
2006,2006,Lithuania,6.0,3289835.0,0.18237996
2006,2006,Luxembourg,0.0,469086.0,0.0
2006,2006,Malta,2.0,404999.0,0.49382837
2006,2006,Netherlands,4275.0,16334210.0,26.17206464
2006,2006,Norway,6587.0,4640219.0,141.95450688
2006,2006,Poland,1520.0,38157055.0,3.98353594
2006,2006,Portugal,22.0,10511988.0,0.20928486
2006,2006,Romania,37.0,21257016.0,0.17406017
2006,2006,Slovakia,21.0,5372928.0,0.39084834
2006,2006,Slovenia,551.0,2003358.0,27.50382108
2006,2006,Spain,374.0,44009971.0,0.84980742
2006,2006,Sweden,795.0,9047752.0,8.78671298
2006,2006,United Kingdom,553.0,60620361.0,0.91223475
2007,2007,Austria,136.0,8282984.0,1.64192035
2007,2007,Belgium,214.0,10584534.0,
2007,2007,Bulgaria,269.0,7572673.0,3.55224634
2007,2007,Croatia,123.0,4313530.0,2.85149286
2007,2007,Cyprus,9.0,757916.0,1.18746668
2007,2007,Czechia,185.0,10254233.0,1.80413298
2007,2007,Denmark,455.0,5447084.0,8.35309314
2007,2007,Estonia,409.0,1342920.0,30.4560212
2007,2007,Finland,480.0,5276955.0,9.09615488
2007,2007,France,61.0,63645065.0,
2007,2007,Germany,,82314906.0,
2007,2007,Greece,29.0,11036008.0,0.26277617
2007,2007,Hungary,48.0,10066158.0,0.47684528
2007,2007,Iceland,2.0,307672.0,0.6500429
2007,2007,Ireland,78.0,4340118.0,1.79718615
2007,2007,Italy,795.0,58510725.0,1.35872525
2007,2007,Latvia,27.0,2208840.0,1.22236105
2007,2007,Lithuania,17.0,3249983.0,0.52307965
2007,2007,Luxembourg,4.0,476187.0,0.84000613
2007,2007,Malta,0.0,405616.0,0.0
2007,2007,Netherlands,7374.0,16357992.0,45.07888254
2007,2007,Norway,5373.0,4681134.0,114.77988025
2007,2007,Poland,1987.0,38125479.0,5.21173779
2007,2007,Portugal,21.0,10532588.0,0.19938119
2007,2007,Romania,35.0,21130503.0,0.16563732
2007,2007,Slovakia,21.0,5373180.0,0.39083001
2007,2007,Slovenia,708.0,2010377.0,35.21727516
2007,2007,Spain,263.0,44784666.0,0.58725457
2007,2007,Sweden,685.0,9113257.0,7.51652235
2007,2007,United Kingdom,1038.0,61073279.0,1.69959762
2008,2008,Austria,175.0,8307989.0,2.10640625
2008,2008,Belgium,174.0,10666866.0,
2008,2008,Bulgaria,193.0,7518002.0,2.56717143
2008,2008,Croatia,102.0,4311967.0,2.36550975
2008,2008,Cyprus,2.0,776333.0,0.2576214
2008,2008,Czechia,765.0,10343422.0,7.39600491
2008,2008,Denmark,513.0,5475791.0,9.36850949
2008,2008,Estonia,485.0,1338440.0,36.23621529
2008,2008,Finland,1022.0,5300484.0,19.28125808
2008,2008,France,114.0,64007193.0,
2008,2008,Germany,,82217837.0,
2008,2008,Greece,22.0,11060937.0,0.19889815
2008,2008,Hungary,33.0,10045401.0,0.32850853
2008,2008,Iceland,1.0,315459.0,0.3169984
2008,2008,Ireland,104.0,4457765.0,2.33300768
2008,2008,Italy,339.0,59001769.0,0.57455904
2008,2008,Latvia,14.0,2191810.0,0.63874149
2008,2008,Lithuania,51.0,3212605.0,1.58749675
2008,2008,Luxembourg,2.0,483799.0,0.41339481
2008,2008,Malta,0.0,407832.0,0.0
2008,2008,Netherlands,8745.0,16405399.0,53.30562213
2008,2008,Norway,3887.0,4737171.0,82.05319166
2008,2008,Poland,2163.0,38115641.0,5.67483569
2008,2008,Portugal,72.0,10553339.0,0.68224852
2008,2008,Romania,51.0,20635460.0,0.24714738
2008,2008,Slovakia,105.0,5376064.0,1.95310174
2008,2008,Slovenia,182.0,2010269.0,9.05351472
2008,2008,Spain,613.0,45668939.0,1.34226897
2008,2008,Sweden,459.0,9182927.0,4.99840628
2008,2008,United Kingdom,1051.0,61571647.0,1.7069545
2009,2009,Austria,184.0,8335003.0,2.20755769
2009,2009,Belgium,160.0,10753080.0,
2009,2009,Bulgaria,251.0,7467119.0,3.3614035
2009,2009,Croatia,102.0,4309796.0,2.36670134
2009,2009,Cyprus,8.0,796930.0,1.00385228
2009,2009,Czechia,954.0,10425783.0,9.15039186
2009,2009,Denmark,541.0,5511451.0,9.81592687
2009,2009,Estonia,629.0,1335740.0,47.09000254
2009,2009,Finland,267.0,5326314.0,5.01284753
2009,2009,France,166.0,64350226.0,
2009,2009,Germany,,82002356.0,
2009,2009,Greece,27.0,11094745.0,0.24335845
2009,2009,Hungary,33.0,10030975.0,0.32898098
