Time,Year,RegionName,Cases,Population,Incidence
2000,2000,Estonia,791.0,1401250.0,56.44959857
2000,2000,Finland,509.0,5171302.0,9.84278233
2000,2000,France,6714.0,60545022.0,11.08926841
2000,2000,Germany,9064.0,82163475.0,11.03166583
2000,2000,Greece,703.0,10775627.0,6.52398231
2000,2000,Hungary,3598.0,10221644.0,35.19981717
2000,2000,Iceland,13.0,279049.0,4.65868001
2000,2000,Ireland,403.0,3777565.0,10.66824793
2000,2000,Italy,4759.0,56923524.0,8.36033974
2000,2000,Latvia,2063.0,2381715.0,86.61825617
2000,2000,Liechtenstein,2.0,32426.0,6.16788996
2000,2000,Lithuania,2981.0,3512074.0,84.87862157
2000,2000,Luxembourg,44.0,433600.0,10.14760147
2000,2000,Malta,18.0,388759.0,4.63011788
2000,2000,Netherlands,1404.0,15863950.0,8.85025482
2000,2000,Norway,237.0,4478497.0,5.29195397
2000,2000,Poland,11477.0,38263303.0,29.99479684
2000,2000,Portugal,4494.0,10249022.0,43.84808618
2000,2000,Romania,27667.0,22455485.0,123.20820503
2000,2000,Slovakia,1111.0,5398657.0,20.57919219
2000,2000,Slovenia,380.0,1987755.0,19.1170441
2000,2000,Spain,8395.0,40470182.0,20.74366752
2000,2000,Sweden,458.0,8861426.0,5.16846837
2000,2000,United Kingdom,6686.0,58785246.0,11.37360214
2001,2001,Austria,1075.0,8020946.0,13.40240914
2001,2001,Belgium,1321.0,10263414.0,12.87096087
2001,2001,Bulgaria,3862.0,8149468.0,47.38959647
2001,2001,Croatia,1505.0,4295406.0,35.03743301
2001,2001,Cyprus,40.0,697549.0,5.73436418
2001,2001,Czechia,1350.0,10232027.0,13.19386666
2001,2001,Denmark,511.0,5349212.0,9.55280889
2001,2001,Estonia,812.0,1392720.0,58.30317651
2001,2001,Finland,477.0,5181115.0,9.20651249
2001,2001,France,6465.0,60979315.0,10.60195576
2001,2001,Germany,7539.0,82259540.0,9.16489443
2001,2001,Greece,617.0,10835989.0,5.69398879
2001,2001,Hungary,3150.0,10200298.0,30.88145071
2001,2001,Iceland,13.0,283361.0,4.58778731
2001,2001,Ireland,406.0,3832783.0,10.5928251
2001,2001,Italy,4505.0,56960692.0,7.9089629
2001,2001,Latvia,2082.0,2353384.0,88.46835025
2001,2001,Liechtenstein,6.0,32863.0,18.25761494
2001,2001,Lithuania,2989.0,3486998.0,85.71843172
2001,2001,Luxembourg,32.0,439000.0,7.28929384
2001,2001,Malta,16.0,391415.0,4.08773296
2001,2001,Netherlands,1436.0,15987075.0,8.98225597
2001,2001,Norway,288.0,4503436.0,6.39511697
2001,2001,Poland,10672.0,38253955.0,27.897769
2001,2001,Portugal,4399.0,10330774.0,42.58151422
2001,2001,Romania,30440.0,22430457.0,135.70833621
2001,2001,Slovakia,1076.0,5378783.0,20.00452518
2001,2001,Slovenia,371.0,1990094.0,18.64233548
2001,2001,Spain,7453.0,40665545.0,18.32755469
2001,2001,Sweden,428.0,8882792.0,4.81830487
2001,2001,United Kingdom,6760.0,58999781.0,11.45766964
2002,2002,Austria,1074.0,8063640.0,13.31904698
2002,2002,Belgium,1294.0,10309725.0,12.55125621
2002,2002,Bulgaria,3335.0,7868815.0,42.38249342
2002,2002,Croatia,1470.0,4305494.0,34.14242361
2002,2002,Cyprus,20.0,705539.0,2.83471218
2002,2002,Czechia,1200.0,10201182.0,11.76334271
2002,2002,Denmark,419.0,5368354.0,7.80499944
2002,2002,Estonia,713.0,1383510.0,51.53558702
2002,2002,Finland,477.0,5194901.0,9.18208065
2002,2002,France,6322.0,61424036.0,10.29238782
2002,2002,Germany,7701.0,82440309.0,9.34130414
2002,2002,Greece,582.0,10888274.0,5.34519979
2002,2002,Hungary,2838.0,10174853.0,27.89229485
2002,2002,Iceland,8.0,286575.0,2.79159033
2002,2002,Ireland,408.0,3899702.0,10.46233789
2002,2002,Italy,4212.0,56993270.0,7.39109363
2002,2002,Latvia,1855.0,2320956.0,79.92396236
2002,2002,Liechtenstein,0.0,33525.0,0.0
2002,2002,Lithuania,2844.0,3454637.0,82.32413419
2002,2002,Luxembourg,32.0,444050.0,7.20639567
2002,2002,Malta,24.0,394641.0,6.08147658
2002,2002,Netherlands,1401.0,16105285.0,8.69900781
2002,2002,Norway,251.0,4524066.0,5.5481065
2002,2002,Poland,10475.0,38242197.0,27.39120872
2002,2002,Portugal,4501.0,10394669.0,43.3010421
2002,2002,Romania,33595.0,21833483.0,153.86917424
2002,2002,Slovakia,1053.0,5378951.0,19.57630772
2002,2002,Slovenia,350.0,1994026.0,17.5524291
2002,2002,Spain,7626.0,41035278.0,18.58400959
2002,2002,Sweden,407.0,8909128.0,4.56834832
2002,2002,United Kingdom,7291.0,59239564.0,12.30765304
2003,2003,Austria,990.0,8100273.0,12.2218103
2003,2003,Belgium,1117.0,10355844.0,10.78618024
2003,2003,Bulgaria,3263.0,7805506.0,41.80382412
2003,2003,Croatia,1493.0,4305384.0,34.67751076
2003,2003,Cyprus,35.0,713720.0,4.90388387
2003,2003,Czechia,1162.0,10192649.0,11.40037295
2003,2003,Denmark,393.0,5383507.0,7.30007409
2003,2003,Estonia,623.0,1375190.0,45.30283088
2003,2003,Finland,398.0,5206295.0,7.64459178
2003,2003,France,6098.0,61864088.0,9.85709188
2003,2003,Germany,7166.0,82536680.0,8.68220044
2003,2003,Greece,620.0,10915770.0,5.67985584
2003,2003,Hungary,2582.0,10142362.0,25.45758078
2003,2003,Iceland,5.0,288471.0,1.73327648
2003,2003,Ireland,407.0,3964191.0,10.26691196
