Year,Country,Disease,Cases,Population,Incidence,Pop_Structure_0_14_Pct,Vaccination_Coverage_Pct
2005,Germany,Pertussis,,82500849.0,,13.8,92.0
2005,Greece,Pertussis,26.0,10969912.0,0.24,15.0,93.0
2005,Hungary,Pertussis,22.0,10097549.0,0.22,14.4,98.0
2005,Iceland,Pertussis,6.0,293577.0,2.04,15.0,93.0
2005,Ireland,Pertussis,83.0,4111672.0,2.02,15.0,93.0
2005,Italy,Pertussis,802.0,58044368.0,1.38,12.7,94.0
2005,Latvia,Pertussis,25.0,2249724.0,1.11,15.0,93.0
2005,Lithuania,Pertussis,64.0,3355220.0,1.91,15.0,93.0
2005,Luxembourg,Pertussis,0.0,461230.0,0.0,15.0,93.0
2005,Malta,Pertussis,5.0,402668.0,1.24,15.0,93.0
2005,Netherlands,Pertussis,5913.0,16305526.0,36.26,15.0,93.0
2005,Norway,Pertussis,4503.0,4606363.0,97.76,17.0,96.0
2005,Poland,Pertussis,1925.0,38173835.0,5.04,15.3,93.0
2005,Portugal,Pertussis,78.0,10494672.0,0.74,15.0,93.0
2005,Romania,Pertussis,52.0,21382354.0,0.24,15.0,93.0
2005,Slovakia,Pertussis,17.0,5372685.0,0.32,15.8,95.0
2005,Slovenia,Pertussis,85.0,1997590.0,4.26,15.0,93.0
2005,Spain,Pertussis,304.0,43296338.0,0.7,14.2,95.0
2005,Sweden,Pertussis,1360.0,9011392.0,15.09,17.5,97.0
2005,United Kingdom,Pertussis,456.0,60182050.0,0.76,17.8,91.0
2006,Austria,Pertussis,78.0,8254298.0,0.94,15.0,93.0
2006,Belgium,Pertussis,197.0,10511382.0,1.87,15.0,93.0
2006,Bulgaria,Pertussis,335.0,7629371.0,4.39,15.0,93.0
2006,Croatia,Pertussis,80.0,4312487.0,1.86,15.0,93.0
2006,Cyprus,Pertussis,8.0,744013.0,1.08,15.0,93.0
2006,Czechia,Pertussis,234.0,10223577.0,2.29,16.1,94.0
2006,Denmark,Pertussis,272.0,5427459.0,5.01,15.0,93.0
2006,Estonia,Pertussis,153.0,1350700.0,11.33,15.0,93.0
2006,Finland,Pertussis,536.0,5255580.0,10.2,15.0,93.0
2006,France,Pertussis,139.0,63229635.0,0.22,17.7,90.0
2006,Germany,Pertussis,,82437995.0,,13.8,92.0
2006,Greece,Pertussis,13.0,11004716.0,0.12,15.0,93.0
2006,Hungary,Pertussis,17.0,10076581.0,0.17,14.4,98.0
2006,Iceland,Pertussis,3.0,299891.0,1.0,15.0,93.0
2006,Ireland,Pertussis,62.0,4208156.0,1.47,15.0,93.0
2006,Italy,Pertussis,836.0,58288996.0,1.43,12.7,94.0
2006,Latvia,Pertussis,29.0,2227874.0,1.3,15.0,93.0
2006,Lithuania,Pertussis,6.0,3289835.0,0.18,15.0,93.0
2006,Luxembourg,Pertussis,0.0,469086.0,0.0,15.0,93.0
2006,Malta,Pertussis,2.0,404999.0,0.49,15.0,93.0
2006,Netherlands,Pertussis,4275.0,16334210.0,26.17,15.0,93.0
2006,Norway,Pertussis,6587.0,4640219.0,141.95,17.0,96.0
2006,Poland,Pertussis,1520.0,38157055.0,3.98,15.3,93.0
2006,Portugal,Pertussis,22.0,10511988.0,0.21,15.0,93.0
2006,Romania,Pertussis,37.0,21257016.0,0.17,15.0,93.0
2006,Slovakia,Pertussis,21.0,5372928.0,0.39,15.8,95.0
2006,Slovenia,Pertussis,551.0,2003358.0,27.5,15.0,93.0
2006,Spain,Pertussis,374.0,44009971.0,0.85,14.2,95.0
2006,Sweden,Pertussis,795.0,9047752.0,8.79,17.5,97.0
2006,United Kingdom,Pertussis,553.0,60620361.0,0.91,17.8,91.0
2007,Austria,Pertussis,136.0,8282984.0,1.64,15.0,93.0
2007,Belgium,Pertussis,214.0,10584534.0,2.02,15.0,93.0
2007,Bulgaria,Pertussis,269.0,7572673.0,3.55,15.0,93.0
2007,Croatia,Pertussis,123.0,4313530.0,2.85,15.0,93.0
2007,Cyprus,Pertussis,9.0,757916.0,1.19,15.0,93.0
2007,Czechia,Pertussis,185.0,10254233.0,1.8,16.1,94.0
2007,Denmark,Pertussis,455.0,5447084.0,8.35,15.0,93.0
2007,Estonia,Pertussis,409.0,1342920.0,30.46,15.0,93.0
2007,Finland,Pertussis,480.0,5276955.0,9.1,15.0,93.0
2007,France,Pertussis,61.0,63645065.0,0.1,17.7,90.0
2007,Germany,Pertussis,,82314906.0,,13.8,92.0
2007,Greece,Pertussis,29.0,11036008.0,0.26,15.0,93.0
2007,Hungary,Pertussis,48.0,10066158.0,0.48,14.4,98.0
2007,Iceland,Pertussis,2.0,307672.0,0.65,15.0,93.0
2007,Ireland,Pertussis,78.0,4340118.0,1.8,15.0,93.0
2007,Italy,Pertussis,795.0,58510725.0,1.36,12.7,94.0
2007,Latvia,Pertussis,27.0,2208840.0,1.22,15.0,93.0
2007,Lithuania,Pertussis,17.0,3249983.0,0.52,15.0,93.0
2007,Luxembourg,Pertussis,4.0,476187.0,0.84,15.0,93.0
2007,Malta,Pertussis,0.0,405616.0,0.0,15.0,93.0
2007,Netherlands,Pertussis,7374.0,16357992.0,45.08,15.0,93.0
2007,Norway,Pertussis,5373.0,4681134.0,114.78,17.0,96.0
2007,Poland,Pertussis,1987.0,38125479.0,5.21,15.3,93.0
2007,Portugal,Pertussis,21.0,10532588.0,0.2,15.0,93.0
2007,Romania,Pertussis,35.0,21130503.0,0.17,15.0,93.0
2007,Slovakia,Pertussis,21.0,5373180.0,0.39,15.8,95.0
2007,Slovenia,Pertussis,708.0,2010377.0,35.22,15.0,93.0
2007,Spain,Pertussis,263.0,44784666.0,0.59,14.2,95.0
2007,Sweden,Pertussis,685.0,9113257.0,7.52,17.5,97.0
2007,United Kingdom,Pertussis,1038.0,61073279.0,1.7,17.8,91.0
2008,Austria,Pertussis,175.0,8307989.0,2.11,15.0,93.0
2008,Belgium,Pertussis,174.0,10666866.0,1.63,15.0,93.0
