Time,Year,Month,RegionName,Cases,Population,Incidence
1999-07,1999,7,Estonia,0.0,1379237.0,
1999-07,1999,7,Finland,0.0,5159646.0,
1999-07,1999,7,France,0.0,60158533.0,
1999-07,1999,7,Germany,0.0,82037011.0,
1999-07,1999,7,Greece,0.0,10747768.0,
1999-07,1999,7,Hungary,0.0,10253416.0,
1999-07,1999,7,Iceland,0.0,275712.0,
1999-07,1999,7,Ireland,9.0,3732006.0,0.241157168
1999-07,1999,7,Italy,176.0,56909109.0,0.309265077
1999-07,1999,7,Latvia,0.0,2399248.0,
1999-07,1999,7,Liechtenstein,,32015.0,
1999-07,1999,7,Lithuania,0.0,3536401.0,
1999-07,1999,7,Luxembourg,0.0,427350.0,
1999-07,1999,7,Malta,0.0,386397.0,
1999-07,1999,7,Netherlands,132.0,15760225.0,0.837551494
1999-07,1999,7,Norway,1.0,4445329.0,0.022495522
1999-07,1999,7,Poland,0.0,38666983.0,
1999-07,1999,7,Portugal,0.0,10186634.0,
1999-07,1999,7,Romania,0.0,22488595.0,
1999-07,1999,7,Slovakia,0.0,5393382.0,
1999-07,1999,7,Slovenia,0.0,1978334.0,
1999-07,1999,7,Spain,0.0,40303568.0,
1999-07,1999,7,Sweden,0.0,8854322.0,
1999-07,1999,7,United Kingdom,16.0,58579685.0,0.027313223
1999-08,1999,8,Austria,0.0,7982461.0,
1999-08,1999,8,Belgium,0.0,10213752.0,
1999-08,1999,8,Bulgaria,0.0,8230371.0,
1999-08,1999,8,Croatia,0.0,4527460.0,
1999-08,1999,8,Cyprus,0.0,682862.0,
1999-08,1999,8,Czechia,0.0,10289621.0,
1999-08,1999,8,Denmark,0.0,5313577.0,
1999-08,1999,8,Estonia,0.0,1379237.0,
1999-08,1999,8,Finland,0.0,5159646.0,
1999-08,1999,8,France,0.0,60158533.0,
1999-08,1999,8,Germany,0.0,82037011.0,
1999-08,1999,8,Greece,2.0,10747768.0,0.018608514
1999-08,1999,8,Hungary,0.0,10253416.0,
1999-08,1999,8,Iceland,0.0,275712.0,
1999-08,1999,8,Ireland,15.0,3732006.0,0.401928614
1999-08,1999,8,Italy,56.0,56909109.0,0.098402524
1999-08,1999,8,Latvia,0.0,2399248.0,
1999-08,1999,8,Liechtenstein,,32015.0,
1999-08,1999,8,Lithuania,0.0,3536401.0,
1999-08,1999,8,Luxembourg,0.0,427350.0,
1999-08,1999,8,Malta,0.0,386397.0,
1999-08,1999,8,Netherlands,101.0,15760225.0,0.640853794
1999-08,1999,8,Norway,0.0,4445329.0,
1999-08,1999,8,Poland,0.0,38666983.0,
1999-08,1999,8,Portugal,0.0,10186634.0,
1999-08,1999,8,Romania,0.0,22488595.0,
1999-08,1999,8,Slovakia,0.0,5393382.0,
1999-08,1999,8,Slovenia,0.0,1978334.0,
1999-08,1999,8,Spain,0.0,40303568.0,
1999-08,1999,8,Sweden,0.0,8854322.0,
1999-08,1999,8,United Kingdom,6.0,58579685.0,0.010242458
1999-09,1999,9,Austria,0.0,7982461.0,
1999-09,1999,9,Belgium,0.0,10213752.0,
1999-09,1999,9,Bulgaria,0.0,8230371.0,
1999-09,1999,9,Croatia,0.0,4527460.0,
1999-09,1999,9,Cyprus,0.0,682862.0,
1999-09,1999,9,Czechia,0.0,10289621.0,
1999-09,1999,9,Denmark,0.0,5313577.0,
1999-09,1999,9,Estonia,0.0,1379237.0,
1999-09,1999,9,Finland,0.0,5159646.0,
1999-09,1999,9,France,0.0,60158533.0,
1999-09,1999,9,Germany,0.0,82037011.0,
1999-09,1999,9,Greece,0.0,10747768.0,
1999-09,1999,9,Hungary,0.0,10253416.0,
1999-09,1999,9,Iceland,0.0,275712.0,
1999-09,1999,9,Ireland,10.0,3732006.0,0.267952409
1999-09,1999,9,Italy,51.0,56909109.0,0.089616584
1999-09,1999,9,Latvia,0.0,2399248.0,
1999-09,1999,9,Liechtenstein,,32015.0,
1999-09,1999,9,Lithuania,0.0,3536401.0,
1999-09,1999,9,Luxembourg,0.0,427350.0,
1999-09,1999,9,Malta,0.0,386397.0,
1999-09,1999,9,Netherlands,343.0,15760225.0,2.176364867
1999-09,1999,9,Norway,0.0,4445329.0,
1999-09,1999,9,Poland,0.0,38666983.0,
1999-09,1999,9,Portugal,0.0,10186634.0,
1999-09,1999,9,Romania,0.0,22488595.0,
1999-09,1999,9,Slovakia,0.0,5393382.0,
1999-09,1999,9,Slovenia,0.0,1978334.0,
1999-09,1999,9,Spain,0.0,40303568.0,
1999-09,1999,9,Sweden,1.0,8854322.0,0.011293919
1999-09,1999,9,United Kingdom,6.0,58579685.0,0.010242458
1999-10,1999,10,Austria,4.0,7982461.0,0.050109859
